Year	cs_k	cs_l	cs_e	Country
2009	0.352061525	0.647938475	0	PT
2008	0.351217773	0.648782227	0	PT
2007	0.355521585	0.644478415	0	PT
2006	0.340455539	0.659544461	0	PT
2005	0.328071669	0.671928331	0	PT
2004	0.333748281	0.666251719	0	PT
2003	0.315654314	0.684345686	0	PT
2002	0.319941612	0.680058388	0	PT
2001	0.316651706	0.683348294	0	PT
2000	0.317242458	0.682757542	0	PT
1999	0.323130889	0.676869111	0	PT
1998	0.319730802	0.680269198	0	PT
1997	0.323076161	0.676923839	0	PT
1996	0.322922704	0.677077296	0	PT
1995	0.334470149	0.665529851	0	PT
1994	0.343066267	0.656933733	0	PT
1993	0.319573836	0.680426164	0	PT
1992	0.316809016	0.683190984	0	PT
1991	0.350348964	0.649651036	0	PT
1990	0.379863002	0.620136998	0	PT
1989	0.37269763	0.62730237	0	PT
1988	0.384884015	0.615115985	0	PT
1987	0.371420552	0.628579448	0	PT
1986	0.373818996	0.626181004	0	PT
1985	0.385655896	0.614344104	0	PT
1984	0.397443495	0.602556505	0	PT
1983	0.32138581	0.67861419	0	PT
1982	0.261447847	0.738552153	0	PT
1981	0.288983457	0.711016543	0	PT
1980	0.29311169	0.70688831	0	PT
1979	0.260700131	0.739299869	0	PT
1978	0.200769923	0.799230077	0	PT
1977	0.126178628	0.873821372	0	PT
1976	0.061462906	0.938537094	0	PT
1975	0.049762248	0.950237752	0	PT
1974	0.160483386	0.839516614	0	PT
1973	0.236233148	0.763766852	0	PT
1972	0.234408701	0.765591299	0	PT
1971	0.226701195	0.773298805	0	PT
1970	0.207573288	0.792426712	0	PT
1969	0.224992089	0.775007911	0	PT
1968	0.257399893	0.742600107	0	PT
1967	0.259311546	0.740688454	0	PT
1966	0.286572493	0.713427507	0	PT
1965	0.316716963	0.683283037	0	PT
1964	0.287283433	0.712716567	0	PT
1963	0.296970228	0.703029772	0	PT
1962	0.338246689	0.661753311	0	PT
1961	0.295046968	0.704953032	0	PT
1960	0.328935205	0.671064795	0	PT
2009	0.317485601	0.682514399	0	UK
2008	0.331805746	0.668194254	0	UK
2007	0.32448704	0.67551296	0	UK
2006	0.32931204	0.67068796	0	UK
2005	0.335254192	0.664745808	0	UK
2004	0.326375201	0.673624799	0	UK
2003	0.327489299	0.672510701	0	UK
2002	0.32109746	0.67890254	0	UK
2001	0.310151012	0.689848988	0	UK
2000	0.325035621	0.674964379	0	UK
1999	0.328588263	0.671411737	0	UK
1998	0.345198239	0.654801761	0	UK
1997	0.364334888	0.635665112	0	UK
1996	0.371425536	0.628574464	0	UK
1995	0.35502929	0.64497071	0	UK
1994	0.356476074	0.643523926	0	UK
1993	0.328322871	0.671677129	0	UK
1992	0.31189575	0.68810425	0	UK
1991	0.310340662	0.689659338	0	UK
1990	0.323182314	0.676817686	0	UK
1989	0.331635995	0.668364005	0	UK
1988	0.338197673	0.661802327	0	UK
1987	0.335784021	0.664215979	0	UK
1986	0.320207354	0.679792646	0	UK
1985	0.327603238	0.672396762	0	UK
1984	0.31942724	0.68057276	0	UK
1983	0.322649988	0.677350012	0	UK
1982	0.306455012	0.693544988	0	UK
1981	0.288637707	0.711362293	0	UK
1980	0.287046478	0.712953522	0	UK
1979	0.30538829	0.69461171	0	UK
1978	0.303500916	0.696499084	0	UK
1977	0.296794453	0.703205547	0	UK
1976	0.257448085	0.742551915	0	UK
1975	0.238246403	0.761753597	0	UK
1974	0.276712874	0.723287126	0	UK
1973	0.320005316	0.679994684	0	UK
1972	0.312282075	0.687717925	0	UK
1971	0.305178824	0.694821176	0	UK
1970	0.295816004	0.704183996	0	UK
1969	0.295599972	0.704400028	0	UK
1968	0.290196525	0.709803475	0	UK
1967	0.278895344	0.721104656	0	UK
1966	0.277874293	0.722125707	0	UK
1965	0.286158969	0.713841031	0	UK
1964	0.287536985	0.712463015	0	UK
1963	0.28602603	0.71397397	0	UK
1962	0.290443915	0.709556085	0	UK
1961	0.293889822	0.706110178	0	UK
1960	0.30694364	0.69305636	0	UK
