Year,iYear,Country,GDP,K,L,iGDP,iK,iL
1960,0,UK,622561.55,1249250.63,53787719350,1,1,1
1961,1,UK,635972.99,1300008.13,53532935330,1.021542352,1.040630358,0.995263156
1962,2,UK,647166.71,1334637.13,53484488950,1.039522469,1.068350176,0.99436246
1963,3,UK,672197.07,1377004.88,53801946634,1.079727894,1.102264708,1.000264508
1964,4,UK,709934.47,1441272.88,54485444317,1.140344244,1.153709949,1.012971827
1965,5,UK,726444.55,1502439.13,54274065977,1.166863829,1.202672302,1.009041964
1966,6,UK,740596.08,1560465.88,53803204978,1.189594973,1.249121548,1.000287903
1967,7,UK,757106.16,1624544.25,52573053579,1.216114558,1.300414999,0.977417415
1968,8,UK,811353.64,1695681.88,52029784136,1.303250494,1.357359237,0.967317164
1969,9,UK,804277.90,1762844.00,51975173106,1.291884972,1.411121167,0.966301857
1970,10,UK,820787.98,1822871.38,50759575507,1.318404557,1.459171874,0.943701948
1971,11,UK,837240.98,1885604.13,49239298129,1.344832472,1.509388178,0.915437552
1972,12,UK,867602.45,1944835.25,48718779753,1.393601087,1.556801503,0.90576028
1973,13,UK,931054.76,2009797.38,50039559418,1.49552244,1.608802377,0.930315693
1974,14,UK,915415.85,2067523.75,49138073678,1.470402181,1.655011179,0.913555627
1975,15,UK,909219.68,2120486.75,47946126425,1.460449466,1.697406995,0.891395415
1976,16,UK,934720.16,2172239.00,47389663451,1.50141005,1.738833631,0.881049876
1977,17,UK,956810.88,2222136.50,47301996228,1.536893639,1.778775576,0.879420001
1978,18,UK,989374.73,2276229.50,47333580977,1.589199874,1.822075935,0.880007213
1979,19,UK,1016550.60,2329282.00,47150212291,1.632851576,1.864543394,0.876598095
1980,20,UK,994398.92,2371269.50,46406215867,1.59727007,1.898153543,0.862766007
1981,21,UK,981238.47,2398061.00,44102842860,1.576130869,1.9195996,0.819942608
1982,22,UK,1001776.47,2430251.50,43067422476,1.609120373,1.945367448,0.800692481
1983,23,UK,1038084.32,2467867.50,42656844021,1.66744047,1.975478299,0.793059169
1984,24,UK,1065810.77,2517522.75,43279519694,1.711976553,2.015226328,0.804635709
1985,25,UK,1104173.36,2569936.50,43965516047,1.773597119,2.057182481,0.817389482
1986,26,UK,1148476.44,2623538.00,43907934925,1.844759686,2.100089404,0.816318956
1987,27,UK,1200870.86,2685488.50,44600920611,1.928919114,2.149679533,0.829202672
1988,28,UK,1261299.91,2768860.50,46407800398,2.025984287,2.216417142,0.862795466
1989,29,UK,1290075.79,2860531.25,47488156941,2.072206039,2.289797734,0.882881028
1990,30,UK,1300128.92,2940812.00,47434351553,2.088354039,2.354060859,0.881880699
1991,31,UK,1282025.42,3000211.25,45627257751,2.059274984,2.401608764,0.848283926
1992,32,UK,1283905.26,3064526.25,44026099020,2.062294508,2.453091628,0.818515816
1993,33,UK,1312436.90,3123093.75,43572236175,2.10812395,2.499973734,0.810077778
1994,34,UK,1368611.49,3188536.00,44276189794,2.19835533,2.552358939,0.823165405
1995,35,UK,1410254.75,3260267.25,44856445164,2.26524551,2.609778362,0.833953284
1996,36,UK,1450859.60,3339044.75,45252859756,2.330467738,2.672838166,0.841323267
1997,37,UK,1498841.99,3430258.00,46047651512,2.40754027,2.745852539,0.856099721
1998,38,UK,1551521.23,3548338.25,46344767170,2.492157186,2.840373404,0.861623577
1999,39,UK,1600653.70,3666179.25,46629025995,2.571077055,2.934702754,0.866908405
2000,40,UK,1668448.81,3777986.50,46849046143,2.679974083,3.024202209,0.870998933
2001,41,UK,1716589.80,3883004.00,47310219736,2.757301374,3.108266606,0.87957289
2002,42,UK,1758353.04,3993958.75,47157582601,2.824384269,3.197083652,0.87673512
2003,43,UK,1825432.38,4103063.50,47107782347,2.932131598,3.28441981,0.875809254
2004,44,UK,1878518.23,4221600.00,47455324248,3.01740165,3.379305894,0.882270615
2005,45,UK,1930633.50,4338345.50,48016605272,3.101112676,3.472758319,0.89270573
2006,46,UK,1980838.22,4465526.50,48274589086,3.181754856,3.574564151,0.897502063
2007,47,UK,2052795.58,4613093.00,48626446207,3.297337582,3.692688167,0.904043652
2008,48,UK,2032927.03,4738897.50,48354345643,3.265423383,3.793392139,0.898984865
2009,49,UK,1952129.92,4804990.00,47442570731,3.135641656,3.846297856,0.882033507
2010,50,UK,1987254.98,4879003.50,47685549170,3.192061881,3.905544174,0.886550866
2011,51,UK,2002324.89,4947837.50,47931413864,3.216268179,3.960644406,0.891121885
