Year,iYear,iY,iK,iL,iXp,iU,sF,sK,Country
1960,0,1,1,1,1,1,0.1,0.325525117,UK
1961,1,1.021542352,1.0451,1.007399141,0.996460148,1.047618799,0.097544673,0.333032007,UK
1962,2,1.039522469,1.09286107,1.018760314,1.023837827,1.088765366,0.098491169,0.342228031,UK
1963,3,1.079727894,1.135045507,1.037303412,1.059406845,1.179210469,0.098117947,0.342202719,UK
1964,4,1.140344244,1.176474668,1.063290572,1.059494091,1.222604375,0.092910022,0.335838985,UK
1965,5,1.166863829,1.230827798,1.07208068,1.111802484,1.329056601,0.095281254,0.343369426,UK
1966,6,1.189594973,1.287938208,1.072484427,1.102384864,1.345754734,0.092668924,0.352436119,UK
1967,7,1.216114558,1.343577138,1.057532657,1.104032325,1.389904231,0.090783579,0.359643836,UK
1968,8,1.303250494,1.410084207,1.056161533,1.118885629,1.470259798,0.085853459,0.352209977,UK
1969,9,1.291884972,1.484536653,1.064687127,1.166057196,1.512276092,0.090260141,0.374068882,UK
1970,10,1.318404557,1.555052144,1.049280903,1.212081702,1.559235273,0.091935491,0.383955386,UK
1971,11,1.344832472,1.630472173,1.024869044,1.235825642,1.598303959,0.089597034,0.395762289,UK
1972,12,1.393601087,1.714767584,1.01947458,1.237505076,1.645092957,0.084359135,0.402770229,UK
1973,13,1.49552244,1.792446556,1.051965881,1.276003085,1.660104619,0.078922444,0.393406843,UK
1974,14,1.470402181,1.890493382,1.037801949,1.220480515,1.568565902,0.074702859,0.423177345,UK
1975,15,1.460449466,1.988988088,1.017321125,1.185197776,1.543971851,0.089268241,0.43840717,UK
1976,16,1.50141005,2.071332194,1.007704472,1.200933537,1.5731835,0.085186203,0.445848169,UK
1977,17,1.536893639,2.142378889,1.008031388,1.229243726,1.657651353,0.082381826,0.452258673,UK
1978,18,1.589199874,2.208364158,1.010901807,1.22251025,1.659523258,0.076926148,0.452352163,UK
1979,19,1.632851576,2.286098577,1.009179195,1.289666121,1.751147015,0.082931569,0.45322439,UK
1980,20,1.59727007,2.379600009,0.995418739,1.201991881,1.640880636,0.082778178,0.479576185,UK
1981,21,1.576130869,2.445276969,0.949491258,1.156741614,1.596677123,0.084399899,0.496616388,UK
1982,22,1.609120373,2.484156873,0.930610601,1.150930963,1.638341381,0.080466157,0.495565244,UK
1983,23,1.66744047,2.554955344,0.925129576,1.137849641,1.621157073,0.075063226,0.493247595,UK
1984,24,1.711976553,2.625216615,0.942086989,1.130116633,1.62920141,0.070963319,0.495014079,UK
1985,25,1.773597119,2.701872941,0.960540081,1.194772804,1.729730949,0.070732605,0.493145389,UK
1986,26,1.844759686,2.821025537,0.964777171,1.205323437,1.750951866,0.066971136,0.496413598,UK
1987,27,1.928919114,2.947689584,0.985617758,1.215970549,1.810216583,0.06303896,0.497453206,UK
1988,28,2.025984287,3.085936225,1.031421954,1.219851941,1.858365072,0.058705077,0.495765222,UK
1989,29,2.072206039,3.256897092,1.061478963,1.202559047,1.821374774,0.055131154,0.50906118,UK
