Year;K/L ($US 2010 per hour);Capital ($US 2010);Labor (millions of hours);Primary exergy (TJ);GDP  ($US 2010);K (1960 = 1);L (1960 = 1);E (1960 = 1);Y (1960 = 1)
1960;84.2;1.12901608177472E+13;1.34027734998464E+05;4.58915664423527E+07;3.07807108047467E+12;1.00000000000000E+00;1.00000000000000E+00;1.00000000000000E+00;1.00000000000000E+00
1961;87.5;1.16453695718385E+13;1.33116642779007E+05;4.63983602822776E+07;3.14886671532558E+12;1.03146179756208E+00;9.93202211322395E-01;1.01104328919697E+00;1.02300000000000E+00
1962;88.1;1.20180927662443E+13;1.36461557150766E+05;4.84589347837344E+07;3.34094758496044E+12;1.06447489634983E+00;1.01815909335728E+00;1.05594422985336E+00;1.08540300000000E+00
1963;90.3;1.24191665064676E+13;1.37549691178164E+05;5.08878030228899E+07;3.48794927869870E+12;1.09999907945914E+00;1.02627781615305E+00;1.10887047376806E+00;1.13316073200000E+00
1964;91.2;1.28719471362844E+13;1.41123628341455E+05;5.28705969846930E+07;3.69025033686323E+12;1.14010308126442E+00;1.05294346982042E+00;1.15207653787776E+00;1.19888405445600E+00
1965;91.9;1.34108626654530E+13;1.45974705892675E+05;5.50652967538103E+07;3.92642635842247E+12;1.18783628346306E+00;1.08913804963090E+00;1.19990013465723E+00;1.27561263394118E+00
1966;92.6;1.39907745628359E+13;1.51082165281256E+05;5.81624046601538E+07;4.18164407171994E+12;1.23920064458635E+00;1.12724553080739E+00;1.26738765243970E+00;1.35852745514736E+00
1967;95.2;1.45464931633556E+13;1.52748903521836E+05;6.07105794354507E+07;4.28618517351294E+12;1.28842214014257E+00;1.13968130196027E+00;1.32291364496597E+00;1.39249064152605E+00
1968;97.2;1.51159250488633E+13;1.55513918979440E+05;6.36387427390280E+07;4.49192206184155E+12;1.33885825834317E+00;1.16031147568988E+00;1.38671977603922E+00;1.45933019231929E+00
1969;98.4;1.56773327144404E+13;1.59298034389060E+05;6.66114641790470E+07;4.63117164575864E+12;1.38858364973836E+00;1.18854529915682E+00;1.45149685101122E+00;1.50456942828119E+00
1970;102.6;1.60581946172936E+13;1.56507536160660E+05;6.95468658707186E+07;4.77968439420000E+12;1.42231761588829E+00;1.16772499484866E+00;1.51546071015207E+00;1.55281806990075E+00
1971;105.9;1.64969964971837E+13;1.55819019093578E+05;7.10807640402612E+07;4.93719778110000E+12;1.46118348210345E+00;1.16258787105044E+00;1.54888511224716E+00;1.60399082802813E+00
1972;107.0;1.71393336008569E+13;1.60119580492892E+05;7.46683612828200E+07;5.19705547410000E+12;1.51807701214630E+00;1.19467497152531E+00;1.62706063600195E+00;1.68841308021339E+00
1973;107.8;1.78070741245467E+13;1.65237815021098E+05;7.75182446511554E+07;5.49033180290000E+12;1.57722059162837E+00;1.23286284755160E+00;1.68916100845089E+00;1.78369233827223E+00
1974;110.8;1.83681724247497E+13;1.65840992435727E+05;7.58297851465901E+07;5.46193830150000E+12;1.62691858169783E+00;1.23736324006092E+00;1.65236863818638E+00;1.77446789196880E+00
1975;116.8;1.88186816234050E+13;1.61090088585492E+05;7.41897918888696E+07;5.45114122180000E+12;1.66682139671772E+00;1.20191607048599E+00;1.61663237148517E+00;1.77096014980894E+00
1976;116.7;1.93367453577681E+13;1.65754310514009E+05;7.92286333326779E+07;5.74474459680000E+12;1.71270769920056E+00;1.23671649391007E+00;1.72643122636056E+00;1.86634565824065E+00
1977;116.2;1.99367592161991E+13;1.71588478130028E+05;8.17668390753102E+07;6.00949674730000E+12;1.76585254524101E+00;1.28024604856594E+00;1.78173998871934E+00;1.95235801584324E+00
1978;114.9;2.06383389551038E+13;1.79663627721088E+05;8.41158406743390E+07;6.34372602220000E+12;1.82799335529942E+00;1.34049588857968E+00;1.83292589892311E+00;2.06094201736944E+00
1979;115.8;2.13762317379798E+13;1.84525742014988E+05;8.40203143482244E+07;6.54518314270000E+12;1.89335050962057E+00;1.37677281509758E+00;1.83084433288560E+00;2.12639116238039E+00
1980;119.7;2.20178878650618E+13;1.84014725615221E+05;8.10412550885537E+07;6.52917387180000E+12;1.95018372372973E+00;1.37296004903260E+00;1.76592915367914E+00;2.12119008986405E+00
1981;122.8;2.26442532410541E+13;1.84406667539273E+05;7.88514428542532E+07;6.69857135450000E+12;2.00566259476652E+00;1.37588438349261E+00;1.71821205870808E+00;2.17622373862367E+00
1982;127.5;2.31602429890566E+13;1.81665540049349E+05;7.56123726879290E+07;6.57056895280000E+12;2.05136519868261E+00;1.35543244128859E+00;1.64763111285187E+00;2.13463847358156E+00
1983;128.4;2.37370211249093E+13;1.84932538153554E+05;7.58066847149742E+07;6.87494774610000E+12;2.10245199409354E+00;1.37980797896549E+00;1.65186526832114E+00;2.23352468684375E+00
1984;126.0;2.44822318085734E+13;1.94265611964472E+05;7.91254531034897E+07;7.37400618140000E+12;2.16845731462827E+00;1.44944337055832E+00;1.72418287797790E+00;2.39565818612053E+00
1985;127.3;2.52976686633422E+13;1.98711622265408E+05;8.01278620683435E+07;7.68657094820000E+12;2.24068275658009E+00;1.48261568598234E+00;1.74602586662622E+00;2.49720384852667E+00
1986;129.9;2.61106354086966E+13;2.01044653451685E+05;8.00598052661657E+07;7.95649368810000E+12;2.31268941427769E+00;1.50002276360179E+00;1.74454287514317E+00;2.58489602094342E+00
1987;130.3;2.69083791950828E+13;2.06498694533381E+05;8.34226931300923E+07;8.23192742470000E+12;2.38334773343397E+00;1.54071614010150E+00;1.81782187005721E+00;2.67437859928516E+00
1988;130.2;2.76957151704301E+13;2.12665804310880E+05;8.65578885442671E+07;8.57799534700000E+12;2.45308420469041E+00;1.58672982359447E+00;1.88613933353088E+00;2.78680872622252E+00
1989;130.3;2.84787798524339E+13;2.18550886967593E+05;8.81861303468103E+07;8.89371052730000E+12;2.52244235597314E+00;1.63063926261304E+00;1.92161953019378E+00;2.88937789114620E+00
1990;133.5;2.92215726042298E+13;2.18903000000000E+05;8.66610753017171E+07;9.06441376550000E+12;2.58823351375969E+00;1.63326642804572E+00;1.88838782416760E+00;2.94483575216924E+00
1991;138.0;2.98409880647639E+13;2.16173000000000E+05;8.73300485862999E+07;9.05769843710000E+12;2.64309681203623E+00;1.61289750962722E+00;1.90296508392235E+00;2.94265408442199E+00
1992;141.1;3.04896955963770E+13;2.16131000000000E+05;8.91200836673227E+07;9.37973549840000E+12;2.70055458806660E+00;1.61258414165155E+00;1.94197083639043E+00;3.04727709437871E+00
1993;141.0;3.11768856421577E+13;2.21148000000000E+05;9.07107988333948E+07;9.63728959580000E+12;2.76142086418736E+00;1.65001669245946E+00;1.97663330902732E+00;3.13095095721890E+00
1994;139.7;3.19250117627561E+13;2.28531000000000E+05;9.23062643994030E+07;1.00264089855000E+13;2.82768441283606E+00;1.70510230589675E+00;2.01139929523554E+00;3.25736759267880E+00
1995;140.2;3.27131400666744E+13;2.33255000000000E+05;9.32246433686826E+07;1.02990246183000E+13;2.89749106277141E+00;1.74034874201726E+00;2.03141122859225E+00;3.34593462887536E+00
1996;141.6;3.36057760922585E+13;2.37300000000000E+05;9.53451179375240E+07;1.06899633606000E+13;2.97655424353505E+00;1.77052906253111E+00;2.07761742143392E+00;3.47294233340170E+00
1997;142.0;3.45970846066654E+13;2.43637000000000E+05;9.62632294977995E+07;1.11696248487000E+13;3.06435711281292E+00;1.81781032114578E+00;2.09762352781577E+00;3.62877417599386E+00
1998;143.5;3.57158062071658E+13;2.48819000000000E+05;9.71085378661245E+07;1.16666632094000E+13;3.16344530283603E+00;1.85647396042954E+00;2.11604321652669E+00;3.79025139588423E+00
1999;146.0;3.69529574421807E+13;2.53055000000000E+05;1.00233578427337E+08;1.22132696684000E+13;3.27302312506423E+00;1.88807935911846E+00;2.18413940071640E+00;3.96783223944152E+00
2000;149.0;3.82757139268320E+13;2.56809191077564E+05;1.02952236290662E+08;1.27130582134000E+13;3.39018323518172E+00;1.91608991288636E+00;2.24338030430900E+00;4.13020293587226E+00
2001;155.9;3.95135760619841E+13;2.53454645943563E+05;1.01036178406617E+08;1.28371353521000E+13;3.49982402375279E+00;1.89106117436415E+00;2.20162845244202E+00;4.17051296623091E+00
2002;162.5;4.06215118579250E+13;2.49937766907964E+05;1.01858050426689E+08;1.30664229809000E+13;3.59795688597025E+00;1.86482123950560E+00;2.21953745149754E+00;4.24500365302968E+00
2003;168.7;4.17678117689059E+13;2.47597428392964E+05;1.02155207396323E+08;1.34331681995000E+13;3.69948776134795E+00;1.84735964086688E+00;2.22601264928811E+00;4.36415139491466E+00
2004;171.5;4.30045514723068E+13;2.50706234003678E+05;1.04280644757694E+08;1.39417134041000E+13;3.80902913311095E+00;1.87055488184255E+00;2.27232698384109E+00;4.52936694429748E+00
2005;174.4;4.43306205302354E+13;2.54172466291615E+05;1.04890983869948E+08;1.44080938404000E+13;3.92648264677960E+00;1.89641693411089E+00;2.28562657589186E+00;4.68088405488613E+00
2006;176.4;4.56546635631796E+13;2.58878225507574E+05;1.04120217469221E+08;1.47923037918000E+13;4.04375670994998E+00;1.93152727314641E+00;2.26883119363583E+00;4.80570571798455E+00
2007;180.1;4.68723506313052E+13;2.60277949327354E+05;1.06076776390220E+08;1.50553953048000E+13;4.15161053841020E+00;1.94197081171547E+00;2.31146558319098E+00;4.89117856968992E+00
2008;185.4;4.78658621148196E+13;2.58237888834892E+05;1.03877804439632E+08;1.50114905414000E+13;4.23960853060467E+00;1.92674963012582E+00;2.26354889345779E+00;4.87691484339766E+00
2009;197.9;4.83972113691290E+13;2.44607349846090E+05;9.92323348463035E+07;1.45948421819000E+13;4.28667156742822E+00;1.82505023940674E+00;2.16232180635969E+00;4.74155462961217E+00
2010;199.7;4.89235653910502E+13;2.44962314033921E+05;1.01994324628018E+08;1.49643720000000E+13;4.33329216304398E+00;1.82769867771568E+00;2.22250693395135E+00;4.86160702880595E+00
