Year	iYear	iGDP	iKstkPWT	iKstkO+WnoRD	iKstkO+WwithRD	iKstkS+L	iKservONS2011	iKservONS2015	iKservO+WnoRD	iKservO+WwithRD	iKservS+L	iL	ihLPWT	ihLest	iEpMP	iEfMP	iEuMP	iXpMP	iXfMP	iUMP	iEpIEA	iEfIEA	iXp	iXf	iU	Country	Source
1960	0	1	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	NA	NA	NA	NA	NA	1	1	1	NA	1	UK	REXS1960
1961	1	1.021542352	1.040630358	1.0457	1.0457	NA	1.04	1.139338548	1.0451	1.0451	NA	0.995263156	1.005923153	1.007399141	NA	NA	NA	NA	NA	NA	0.998961729	0.989038439	1.020382925	NA	1.074100124	UK	REXS1960
1962	2	1.039522469	1.068350176	1.08867827	1.08867827	NA	1.076	1.255528443	1.09286107	1.09286107	NA	0.99436246	1.015777194	1.018760314	NA	NA	NA	NA	NA	NA	1.034514655	1.028657437	1.07318993	NA	1.139504535	UK	REXS1960
1963	3	1.079727894	1.102264708	1.130483516	1.130483516	NA	1.112	1.329647705	1.135045507	1.135045507	NA	1.000264508	1.032750664	1.037303412	NA	NA	NA	NA	NA	NA	1.079235832	1.066318361	1.108923714	NA	1.221145057	UK	REXS1960
1964	4	1.140344244	1.153709949	1.183616241	1.183616241	NA	1.156	1.4182553	1.176474668	1.176474668	NA	1.012971827	1.057072668	1.063290572	NA	NA	NA	NA	NA	NA	1.091613285	1.070261961	1.149216638	NA	1.298118562	UK	REXS1960
1965	5	1.166863829	1.202672302	1.240193097	1.240193097	NA	1.2	1.538247021	1.230827798	1.230827798	NA	1.009041964	1.064249862	1.07208068	NA	NA	NA	NA	NA	NA	1.138618659	1.100182083	1.183156557	NA	1.348746802	UK	REXS1960
1966	6	1.189594973	1.249121548	1.296993941	1.296993941	NA	1.244	1.664121223	1.287938208	1.287938208	NA	1.000287903	1.064862394	1.072484427	NA	NA	NA	NA	NA	NA	1.137133616	1.084746228	1.203847055	NA	1.376661023	UK	REXS1960
1967	7	1.216114558	1.300414999	1.36132484	1.36132484	NA	1.296	1.785670712	1.343577138	1.343577138	NA	0.977417415	1.050225752	1.057532657	NA	NA	NA	NA	NA	NA	1.156678287	1.111985433	1.208631361	NA	1.402880012	UK	REXS1960
1968	8	1.303250494	1.357359237	1.430616275	1.430616275	NA	1.352	1.917874028	1.410084207	1.410084207	NA	0.967317164	1.049072703	1.056161533	NA	NA	NA	NA	NA	NA	1.183371298	1.160589619	1.222901305	NA	1.493958909	UK	REXS1960
1969	9	1.291884972	1.411121167	1.497139932	1.497139932	NA	1.408	2.058792131	1.484536653	1.484536653	NA	0.966301857	1.05775149	1.064687127	NA	NA	NA	NA	NA	NA	1.240973332	1.198021795	1.260465972	NA	1.549012169	UK	REXS1960
