Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	US
1981	1	1.0254	1.0021	1.0322	0.9768	0.9764	0.9617	US
1982	2	1.0055	0.9872	1.0551	0.9389	0.9379	0.9148	US
1983	3	1.0509	1.0049	1.0829	0.9337	0.9327	0.9116	US
1984	4	1.1264	1.0556	1.1253	0.9799	0.9790	0.9657	US
1985	5	1.1730	1.0797	1.1718	0.9790	0.9782	0.9782	US
1986	6	1.2137	1.0924	1.2172	0.9818	0.9808	0.9712	US
1987	7	1.2525	1.1220	1.2608	1.0134	1.0126	1.0051	US
1988	8	1.3040	1.1555	1.3054	1.0590	1.0582	1.0732	US
1989	9	1.3506	1.1874	1.3511	1.0915	1.0897	1.1328	US
1990	10	1.3759	1.1894	1.3927	1.0973	1.0948	1.1516	US
1991	11	1.3727	1.1726	1.4246	1.0970	1.0941	1.1389	US
1992	12	1.4193	1.1736	1.4612	1.1126	1.1098	1.1874	US
1993	13	1.4598	1.2010	1.5048	1.1340	1.1312	1.1996	US
1994	14	1.5192	1.2386	1.5570	1.1561	1.1532	1.2387	US
1995	15	1.5574	1.2691	1.6155	1.1816	1.1779	1.2920	US
1996	16	1.6157	1.2850	1.6848	1.2200	1.2164	1.3335	US
1997	17	1.6877	1.3226	1.7662	1.2303	1.2271	1.3523	US
1998	18	1.7612	1.3511	1.8634	1.2384	1.2353	1.3669	US
1999	19	1.8462	1.3775	1.9745	1.2584	1.2550	1.4091	US
2000	20	1.9226	1.3959	2.0955	1.2848	1.2816	1.3964	US
2001	21	1.9434	1.3788	2.2033	1.2548	1.2516	NA	US
2002	22	1.9786	1.3609	2.2927	1.2779	1.2739	NA	US
2003	23	2.0289	1.3538	2.3844	1.2806	1.2769	NA	US
2004	24	2.0992	1.3690	2.4885	1.3018	1.2981	NA	US
2005	25	2.1637	1.3901	2.6029	1.3036	1.2997	NA	US
2006	26	2.2212	1.4155	2.7162	1.2960	1.2916	NA	US
2007	27	2.2637	1.4253	2.8158	1.3178	1.3132	NA	US
2008	28	2.2561	1.4099	2.8877	1.2874	1.2819	NA	US
2009	29	2.1774	1.3323	2.9041	1.2307	1.2239	NA	US
2010	30	2.2434	1.3318	2.9249	1.2710	1.2647	NA	US
2011	31	2.2823	1.3742	2.9597	1.2586	1.2508	NA	US
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	UK
1981	1	0.9868	0.9541	1.0184	0.9607	0.9599	0.9725	UK
1982	2	1.0074	0.9334	1.0407	0.9489	0.9473	0.9069	UK
1983	3	1.0439	0.9234	1.0663	0.9531	0.9509	0.9521	UK
1984	4	1.0718	0.9466	1.0990	0.9374	0.9331	1.0317	UK
1985	5	1.1104	0.9598	1.1339	0.9824	0.9789	1.0175	UK
1986	6	1.1549	0.9630	1.1687	1.0053	1.0024	1.0315	UK
1987	7	1.2076	0.9848	1.2120	1.0173	1.0145	1.1298	UK
1988	8	1.2684	1.0214	1.2709	1.0199	1.0161	1.1561	UK
1989	9	1.2974	1.0503	1.3343	1.0447	1.0404	1.1731	UK
1990	10	1.3075	1.0475	1.3900	1.0496	1.0448	1.2083	UK
1991	11	1.2893	1.0051	1.4296	1.0726	1.0676	1.1603	UK
1992	12	1.2911	0.9774	1.4653	1.0474	1.0410	1.2362	UK
1993	13	1.3198	0.9663	1.4981	1.0593	1.0509	1.2455	UK
1994	14	1.3763	0.9798	1.5348	1.0655	1.0563	1.4084	UK
1995	15	1.4183	0.9931	1.5732	1.0623	1.0519	1.4071	UK
1996	16	1.4593	1.0021	1.6167	1.1283	1.1167	1.4547	UK
1997	17	1.5092	1.0190	1.6683	1.0963	1.0838	1.4218	UK
1998	18	1.5672	1.0273	1.7385	1.1004	1.0872	1.4527	UK
1999	19	1.6244	1.0365	1.8091	1.1026	1.0885	1.4201	UK
2000	20	1.6969	1.0389	1.8797	1.0955	1.0815	1.4983	UK
2001	21	1.7503	1.0489	1.9506	1.1173	1.1032	NA	UK
2002	22	1.7968	1.0460	2.0239	1.1051	1.0904	NA	UK
2003	23	1.8602	1.0499	2.0944	1.1122	1.0982	NA	UK
2004	24	1.9151	1.0593	2.1707	1.1144	1.1008	NA	UK
2005	25	1.9551	1.0720	2.2471	1.1153	1.1017	NA	UK
2006	26	2.0061	1.0778	2.3327	1.1029	1.0899	NA	UK
2007	27	2.0756	1.0868	2.4320	1.0609	1.0479	NA	UK
2008	28	2.0527	1.0914	2.5117	1.0494	1.0360	NA	UK
2009	29	1.9629	1.0597	2.5523	0.9990	0.9838	NA	UK
2010	30	2.0040	1.0649	2.5969	1.0153	1.0003	NA	UK
2011	31	2.0171	1.0634	2.6358	0.9669	0.9518	NA	UK
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	JP
1981	1	1.0293	1.0030	1.0536	1.0001	0.9998	0.9624	JP
1982	2	1.0578	1.0087	1.1034	0.9730	0.9710	0.9176	JP
1983	3	1.0748	1.0222	1.1481	0.9547	0.9510	0.9101	JP
1984	4	1.1084	1.0319	1.1949	1.0393	1.0367	0.9869	JP
1985	5	1.1647	1.0290	1.2489	1.0439	1.0397	0.9950	JP
1986	6	1.1992	1.0332	1.3068	1.0464	1.0415	0.9891	JP
1987	7	1.2447	1.0400	1.3722	1.0787	1.0734	1.0168	JP
1988	8	1.3289	1.0531	1.4539	1.1391	1.1351	1.0744	JP
1989	9	1.3992	1.0554	1.5462	1.1774	1.1737	1.1009	JP
1990	10	1.4719	1.0587	1.6473	1.2402	1.2371	1.1523	JP
1991	11	1.5209	1.0559	1.7466	1.2748	1.2710	1.1769	JP
1992	12	1.5333	1.0451	1.8342	1.2783	1.2745	1.1505	JP
1993	13	1.5360	1.0200	1.9101	1.2933	1.2881	1.1599	JP
1994	14	1.5492	1.0163	1.9775	1.3434	1.3398	1.2008	JP
1995	15	1.5791	1.0208	2.0417	1.3836	1.3792	1.2375	JP
1996	16	1.6211	1.0223	2.1111	1.4058	1.4013	1.2441	JP
1997	17	1.6472	1.0137	2.1754	1.4318	1.4265	1.2796	JP
1998	18	1.6125	0.9899	2.2197	1.4101	1.4036	1.2463	JP
1999	19	1.6112	0.9669	2.2603	1.4364	1.4317	1.2612	JP
2000	20	1.6472	0.9683	2.2994	1.4497	1.4454	1.2732	JP
2001	21	1.6530	0.9513	2.3313	1.4360	1.4316	NA	JP
2002	22	1.6577	0.9336	2.3517	1.4262	1.4227	NA	JP
2003	23	1.6862	0.9356	2.3713	1.4231	1.4213	NA	JP
2004	24	1.7256	0.9447	2.3900	1.4564	1.4541	NA	JP
2005	25	1.7478	0.9459	2.4089	1.4525	1.4494	NA	JP
2006	26	1.7772	0.9547	2.4294	1.4642	1.4602	NA	JP
2007	27	1.8157	0.9541	2.4489	1.4436	1.4407	NA	JP
2008	28	1.7962	0.9401	2.4587	1.3966	1.3927	NA	JP
2009	29	1.6969	0.9005	2.4489	1.3225	1.3155	NA	JP
2010	30	1.7726	0.9067	2.4397	1.3873	1.3815	NA	JP
2011	31	1.7598	NA	2.4320	1.3182	1.3156	NA	JP
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	CN
1992	1	1.1420	1.0258	1.0985	1.0356	1.0366	NA	CN
1993	2	1.3019	1.0377	1.2404	1.1039	1.1109	NA	CN
1994	3	1.4724	1.0501	1.4015	1.1878	1.2025	NA	CN
1995	4	1.6329	1.0615	1.5763	1.2123	1.2276	NA	CN
1996	5	1.7962	1.0727	1.7664	1.2396	1.2565	NA	CN
1997	6	1.9633	1.0838	1.9675	1.3058	1.3298	NA	CN
1998	7	2.1164	1.0944	2.1906	1.2877	1.3073	NA	CN
1999	8	2.2772	1.1039	2.4224	1.2716	1.2873	NA	CN
2000	9	2.4685	1.1277	2.6767	1.2703	1.2822	NA	CN
2001	10	2.6734	1.1206	2.9517	1.3336	1.3521	NA	CN
2002	11	2.9167	1.1431	3.2685	1.4993	1.5349	NA	CN
2003	12	3.2084	1.1654	3.6489	1.7220	1.7815	NA	CN
2004	13	3.5324	1.1563	4.0735	2.0815	2.1830	NA	CN
2005	14	3.9316	1.1782	4.5471	2.2471	2.3645	NA	CN
2006	15	4.4309	1.2000	5.0820	2.3911	2.5214	NA	CN
2007	16	5.0601	1.2063	5.6910	2.5309	2.6764	NA	CN
2008	17	5.5458	1.2108	6.3512	2.7533	2.9220	NA	CN
2009	18	6.0561	1.2168	7.2033	2.9489	3.1387	NA	CN
2010	19	6.6845	1.2380	8.1442	3.3926	3.6274	NA	CN
2011	20	7.3013	1.2439	9.1896	3.7111	3.9776	NA	CN
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	ZA
1992	1	0.9786	1.0211	1.0012	1.0229	1.0232	NA	ZA
1993	2	0.9907	1.0597	1.0019	1.0228	1.0226	NA	ZA
1994	3	1.0227	1.1704	1.0084	1.1113	1.1103	NA	ZA
1995	4	1.0546	1.2757	1.0227	1.1294	1.1270	NA	ZA
1996	5	1.1000	1.2423	1.0436	1.1437	1.1420	NA	ZA
1997	6	1.1291	1.2909	1.0683	1.2329	1.2323	NA	ZA
1998	7	1.1350	1.2885	1.0960	1.1784	1.1763	NA	ZA
1999	8	1.1617	1.3403	1.1139	1.2262	1.2249	NA	ZA
2000	9	1.2100	1.3387	1.1343	1.2584	1.2576	NA	ZA
2001	10	1.2431	1.3506	1.1560	1.2739	1.2737	NA	ZA
2002	11	1.2887	1.3694	1.1798	1.2477	1.2460	NA	ZA
2003	12	1.3267	1.4076	1.2126	1.3375	1.3377	NA	ZA
2004	13	1.3871	1.5013	1.2579	1.4192	1.4193	NA	ZA
2005	14	1.4603	1.5185	1.3144	1.4029	1.4023	NA	ZA
2006	15	1.5422	1.5982	1.3845	1.4428	1.4414	NA	ZA
2007	16	1.6268	1.6966	1.4726	1.4988	1.4963	NA	ZA
2008	17	1.6866	1.7563	1.5763	1.5387	1.5367	NA	ZA
2009	18	1.6613	1.7172	1.6803	1.4780	1.4758	NA	ZA
2010	19	1.7095	1.6557	1.7923	1.5004	1.4994	NA	ZA
2011	20	1.7625	1.6754	1.9066	1.5383	1.5402	NA	ZA
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	SA
1992	1	1.0463	1.0492	1.0599	1.0553	1.0553	NA	SA
