Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	CN
1992	1	1.1420	1.0258	1.0985	1.0356	1.0363	NA	CN
1993	2	1.3019	1.0377	1.2404	1.0913	1.0912	NA	CN
1994	3	1.4724	1.0501	1.4015	1.1709	1.1752	NA	CN
1995	4	1.6329	1.0615	1.5763	1.2034	1.2048	NA	CN
1996	5	1.7962	1.0727	1.7664	1.2613	1.2662	NA	CN
1997	6	1.9633	1.0838	1.9675	1.3650	1.3779	NA	CN
1998	7	2.1164	1.0944	2.1906	1.4090	1.4227	NA	CN
1999	8	2.2772	1.1039	2.4224	1.3911	1.4019	NA	CN
2000	9	2.4685	1.1277	2.6767	1.4560	1.4682	NA	CN
2001	10	2.6734	1.1206	2.9517	1.5093	1.5245	NA	CN
2002	11	2.9167	1.1431	3.2685	1.6577	1.6827	NA	CN
2003	12	3.2084	1.1654	3.6489	1.8425	1.8787	NA	CN
2004	13	3.5324	1.1563	4.0735	2.0542	2.1052	NA	CN
2005	14	3.9316	1.1782	4.5471	2.3243	2.3936	NA	CN
2006	15	4.4309	1.2000	5.0820	2.5337	2.6149	NA	CN
2007	16	5.0601	1.2063	5.6910	2.7020	2.7938	NA	CN
2008	17	5.5458	1.2108	6.3512	2.8463	2.9463	NA	CN
2009	18	6.0561	1.2168	7.2033	3.2012	3.3267	NA	CN
2010	19	6.6845	1.2380	8.1442	3.4162	3.5519	NA	CN
2011	20	7.3013	1.2439	9.1896	3.6393	3.7902	NA	CN
