Year	iYear	iGDP	iK	iL	iQ	iX	iU	Country	Source
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	US	Calvin2011
1981	1	1.0254	1.0322	1.0021	0.9766	0.9766	0.9618	US	Calvin2011
1982	2	1.0055	1.0551	0.9872	0.9392	0.9388	0.9156	US	Calvin2011
1983	3	1.0509	1.0829	1.0049	0.9337	0.9334	0.9123	US	Calvin2011
1984	4	1.1264	1.1253	1.0556	0.9800	0.9798	0.9665	US	Calvin2011
1985	5	1.1730	1.1718	1.0797	0.9789	0.9789	0.9788	US	Calvin2011
1986	6	1.2137	1.2172	1.0924	0.9815	0.9815	0.9719	US	Calvin2011
1987	7	1.2525	1.2608	1.1220	1.0126	1.0127	1.0052	US	Calvin2011
1988	8	1.3040	1.3054	1.1555	1.0583	1.0583	1.0732	US	Calvin2011
1989	9	1.3506	1.3511	1.1874	1.0907	1.0897	1.1328	US	Calvin2011
1990	10	1.3759	1.3927	1.1894	1.0965	1.0948	1.1516	US	Calvin2011
1991	11	1.3727	1.4246	1.1726	1.0968	1.0947	1.1395	US	Calvin2011
1992	12	1.4193	1.4612	1.1736	1.1119	1.1098	1.1874	US	Calvin2011
1993	13	1.4598	1.5048	1.2010	1.1330	1.1308	1.1992	US	Calvin2011
1994	14	1.5192	1.5570	1.2386	1.1548	1.1526	1.2380	US	Calvin2011
1995	15	1.5574	1.6155	1.2691	1.1802	1.1772	1.2912	US	Calvin2011
1996	16	1.6157	1.6848	1.2850	1.2185	1.2155	1.3325	US	Calvin2011
1997	17	1.6877	1.7662	1.3226	1.2285	1.2259	1.3510	US	Calvin2011
1998	18	1.7612	1.8634	1.3511	1.2365	1.2341	1.3655	US	Calvin2011
1999	19	1.8462	1.9745	1.3775	1.2565	1.2537	1.4077	US	Calvin2011
2000	20	1.9226	2.0955	1.3959	1.2845	1.2821	1.3970	US	Calvin2011
2001	21	1.9434	2.2033	1.3788	1.2543	1.2522	NA	US	Calvin2011
2002	22	1.9786	2.2927	1.3609	1.2778	1.2748	NA	US	Calvin2011
2003	23	2.0289	2.3844	1.3538	1.2813	1.2786	NA	US	Calvin2011
2004	24	2.0992	2.4885	1.3690	1.3032	1.3006	NA	US	Calvin2011
2005	25	2.1637	2.6029	1.3901	1.3054	1.3028	NA	US	Calvin2011
2006	26	2.2212	2.7162	1.4155	1.2994	1.2965	NA	US	Calvin2011
2007	27	2.2637	2.8158	1.4252	1.3228	1.3198	NA	US	Calvin2011
2008	28	2.2561	2.8877	1.4100	1.2950	1.2914	NA	US	Calvin2011
2009	29	2.1774	2.9041	1.3321	1.2397	1.2349	NA	US	Calvin2011
2010	30	2.2434	2.9249	1.3321	1.2865	1.2819	NA	US	Calvin2011
2011	31	2.2823	2.9597	1.3522	1.2808	1.2751	NA	US	Calvin2011
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	UK	Calvin2011
1981	1	0.9868	1.0184	0.9541	0.9604	0.9599	0.9560	UK	Calvin2011
1982	2	1.0074	1.0407	0.9334	0.9488	0.9473	0.9159	UK	Calvin2011
1983	3	1.0439	1.0663	0.9234	0.9531	0.9509	0.9706	UK	Calvin2011
1984	4	1.0718	1.0990	0.9466	0.9368	0.9330	0.9833	UK	Calvin2011
1985	5	1.1104	1.1339	0.9598	0.9823	0.9789	1.0182	UK	Calvin2011
1986	6	1.1549	1.1687	0.9630	1.0054	1.0024	1.0542	UK	Calvin2011
1987	7	1.2076	1.2120	0.9848	1.0172	1.0145	1.1319	UK	Calvin2011
1988	8	1.2684	1.2709	1.0214	1.0193	1.0160	1.1101	UK	Calvin2011
1989	9	1.2974	1.3343	1.0503	1.0440	1.0404	1.1201	UK	Calvin2011
1990	10	1.3075	1.3900	1.0475	1.0482	1.0440	1.1524	UK	Calvin2011
1991	11	1.2893	1.4296	1.0051	1.0725	1.0674	1.1319	UK	Calvin2011
1992	12	1.2911	1.4653	0.9774	1.0476	1.0411	1.1595	UK	Calvin2011
1993	13	1.3198	1.4981	0.9663	1.0599	1.0510	1.1571	UK	Calvin2011
1994	14	1.3763	1.5348	0.9798	1.0661	1.0565	1.2902	UK	Calvin2011
1995	15	1.4183	1.5732	0.9931	1.0626	1.0520	1.2568	UK	Calvin2011
1996	16	1.4593	1.6167	1.0021	1.1295	1.1170	1.3357	UK	Calvin2011
1997	17	1.5092	1.6683	1.0190	1.0966	1.0840	1.2560	UK	Calvin2011
1998	18	1.5672	1.7385	1.0273	1.1006	1.0874	1.2788	UK	Calvin2011
