Year	iYear	iGDP	iK	iL	iQ	iX	iU	Country	Source
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	US	Econ2011
1981	1	1.0254	1.0322	1.0021	0.9769	0.9766	0.9619	US	Econ2011
1982	2	1.0055	1.0551	0.9872	0.9397	0.9388	0.9157	US	Econ2011
1983	3	1.0509	1.0829	1.0049	0.9343	0.9335	0.9123	US	Econ2011
1984	4	1.1264	1.1253	1.0556	0.9805	0.9799	0.9666	US	Econ2011
1985	5	1.1730	1.1718	1.0797	0.9796	0.9789	0.9789	US	Econ2011
1986	6	1.2137	1.2172	1.0924	0.9823	0.9816	0.9720	US	Econ2011
1987	7	1.2525	1.2608	1.1220	1.0134	1.0128	1.0053	US	Econ2011
1988	8	1.3040	1.3054	1.1555	1.0589	1.0584	1.0733	US	Econ2011
1989	9	1.3506	1.3511	1.1874	1.0913	1.0897	1.1328	US	Econ2011
1990	10	1.3759	1.3927	1.1894	1.0971	1.0949	1.1517	US	Econ2011
1991	11	1.3727	1.4246	1.1726	1.0974	1.0947	1.1395	US	Econ2011
1992	12	1.4193	1.4612	1.1736	1.1124	1.1099	1.1874	US	Econ2011
1993	13	1.4598	1.5048	1.2010	1.1335	1.1309	1.1992	US	Econ2011
1994	14	1.5192	1.5570	1.2386	1.1554	1.1526	1.2381	US	Econ2011
1995	15	1.5574	1.6155	1.2691	1.1808	1.1772	1.2913	US	Econ2011
1996	16	1.6157	1.6848	1.2850	1.2190	1.2155	1.3326	US	Econ2011
1997	17	1.6877	1.7662	1.3226	1.2291	1.2260	1.3511	US	Econ2011
1998	18	1.7612	1.8634	1.3511	1.2373	1.2342	1.3656	US	Econ2011
1999	19	1.8462	1.9745	1.3775	1.2573	1.2538	1.4078	US	Econ2011
2000	20	1.9226	2.0955	1.3959	1.2855	1.2822	1.3971	US	Econ2011
2001	21	1.9434	2.2033	1.3788	1.2556	1.2523	NA	US	Econ2011
2002	22	1.9786	2.2927	1.3609	1.2789	1.2750	NA	US	Econ2011
2003	23	2.0289	2.3844	1.3538	1.2825	1.2787	NA	US	Econ2011
2004	24	2.0992	2.4885	1.3690	1.3044	1.3007	NA	US	Econ2011
2005	25	2.1637	2.6029	1.3901	1.3067	1.3029	NA	US	Econ2011
2006	26	2.2212	2.7162	1.4155	1.3010	1.2967	NA	US	Econ2011
2007	27	2.2637	2.8158	1.4252	1.3244	1.3200	NA	US	Econ2011
2008	28	2.2561	2.8877	1.4100	1.2967	1.2916	NA	US	Econ2011
2009	29	2.1774	2.9041	1.3321	1.2414	1.2351	NA	US	Econ2011
2010	30	2.2434	2.9249	1.3321	1.2878	1.2820	NA	US	Econ2011
2011	31	2.2823	2.9597	1.3522	1.2830	1.2754	NA	US	Econ2011
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	UK	Econ2011
1981	1	0.9868	1.0184	0.9541	0.9606	0.9599	0.9560	UK	Econ2011
1982	2	1.0074	1.0407	0.9334	0.9489	0.9473	0.9159	UK	Econ2011
1983	3	1.0439	1.0663	0.9234	0.9530	0.9508	0.9706	UK	Econ2011
1984	4	1.0718	1.0990	0.9466	0.9372	0.9331	0.9833	UK	Econ2011
1985	5	1.1104	1.1339	0.9598	0.9823	0.9789	1.0182	UK	Econ2011
1986	6	1.1549	1.1687	0.9630	1.0052	1.0024	1.0542	UK	Econ2011
1987	7	1.2076	1.2120	0.9848	1.0171	1.0144	1.1319	UK	Econ2011
1988	8	1.2684	1.2709	1.0214	1.0196	1.0161	1.1101	UK	Econ2011
1989	9	1.2974	1.3343	1.0503	1.0443	1.0404	1.1201	UK	Econ2011
1990	10	1.3075	1.3900	1.0475	1.0485	1.0441	1.1524	UK	Econ2011
1991	11	1.2893	1.4296	1.0051	1.0721	1.0674	1.1319	UK	Econ2011
1992	12	1.2911	1.4653	0.9774	1.0472	1.0410	1.1595	UK	Econ2011
1993	13	1.3198	1.4981	0.9663	1.0593	1.0510	1.1571	UK	Econ2011
1994	14	1.3763	1.5348	0.9798	1.0655	1.0564	1.2902	UK	Econ2011
1995	15	1.4183	1.5732	0.9931	1.0622	1.0520	1.2568	UK	Econ2011
1996	16	1.4593	1.6167	1.0021	1.1284	1.1169	1.3357	UK	Econ2011
1997	17	1.5092	1.6683	1.0190	1.0962	1.0840	1.2560	UK	Econ2011
1998	18	1.5672	1.7385	1.0273	1.1006	1.0874	1.2788	UK	Econ2011
1999	19	1.6244	1.8091	1.0365	1.1027	1.0888	1.2320	UK	Econ2011
2000	20	1.6969	1.8797	1.0389	1.0959	1.0818	1.2648	UK	Econ2011
2001	21	1.7503	1.9506	1.0489	1.1179	1.1037	NA	UK	Econ2011
2002	22	1.7968	2.0239	1.0460	1.1057	1.0910	NA	UK	Econ2011
2003	23	1.8602	2.0944	1.0499	1.1129	1.0989	NA	UK	Econ2011
2004	24	1.9151	2.1707	1.0593	1.1151	1.1014	NA	UK	Econ2011
2005	25	1.9551	2.2471	1.0720	1.1159	1.1022	NA	UK	Econ2011
2006	26	2.0061	2.3327	1.0778	1.1050	1.0921	NA	UK	Econ2011
2007	27	2.0756	2.4320	1.0868	1.0675	1.0548	NA	UK	Econ2011
2008	28	2.0527	2.5117	1.0914	1.0536	1.0406	NA	UK	Econ2011
2009	29	1.9629	2.5523	1.0597	1.0030	0.9883	NA	UK	Econ2011
2010	30	2.0040	2.5969	1.0649	1.0229	1.0085	NA	UK	Econ2011
2011	31	2.0171	2.6358	1.0634	0.9824	0.9676	NA	UK	Econ2011
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	JP	Econ2011
1981	1	1.0293	1.0536	1.0030	0.9997	0.9995	0.9622	JP	Econ2011
1982	2	1.0578	1.1034	1.0087	0.9728	0.9712	0.9177	JP	Econ2011
1983	3	1.0748	1.1481	1.0222	0.9558	0.9526	0.9117	JP	Econ2011
1984	4	1.1084	1.1949	1.0319	1.0421	1.0397	0.9897	JP	Econ2011
1985	5	1.1647	1.2489	1.0290	1.0470	1.0430	0.9982	JP	Econ2011
1986	6	1.1992	1.3068	1.0332	1.0502	1.0455	0.9930	JP	Econ2011
1987	7	1.2447	1.3722	1.0400	1.0823	1.0771	1.0203	JP	Econ2011
1988	8	1.3289	1.4539	1.0531	1.1437	1.1397	1.0787	JP	Econ2011
1989	9	1.3992	1.5462	1.0554	1.1830	1.1792	1.1060	JP	Econ2011
1990	10	1.4719	1.6473	1.0587	1.2508	1.2474	1.1618	JP	Econ2011
1991	11	1.5209	1.7466	1.0559	1.2876	1.2835	1.1885	JP	Econ2011
1992	12	1.5333	1.8342	1.0451	1.2915	1.2875	1.1622	JP	Econ2011
1993	13	1.5360	1.9101	1.0200	1.3093	1.3039	1.1741	JP	Econ2011
1994	14	1.5492	1.9775	1.0163	1.3490	1.3446	1.2051	JP	Econ2011
1995	15	1.5791	2.0417	1.0208	1.3910	1.3856	1.2433	JP	Econ2011
1996	16	1.6211	2.1111	1.0223	1.4147	1.4091	1.2510	JP	Econ2011
1997	17	1.6472	2.1754	1.0137	1.4510	1.4449	1.2961	JP	Econ2011
1998	18	1.6125	2.2197	0.9899	1.4276	1.4205	1.2613	JP	Econ2011
1999	19	1.6112	2.2603	0.9670	1.4582	1.4529	1.2798	JP	Econ2011
2000	20	1.6472	2.2994	0.9684	1.4607	1.4554	1.2820	JP	Econ2011
2001	21	1.6530	2.3313	0.9513	1.4508	1.4455	NA	JP	Econ2011
2002	22	1.6577	2.3517	0.9336	1.4485	1.4443	NA	JP	Econ2011
2003	23	1.6862	2.3713	0.9356	1.4486	1.4464	NA	JP	Econ2011
2004	24	1.7256	2.3900	0.9447	1.4807	1.4778	NA	JP	Econ2011
2005	25	1.7478	2.4089	0.9459	1.4868	1.4832	NA	JP	Econ2011
2006	26	1.7772	2.4294	0.9547	1.5019	1.4976	NA	JP	Econ2011
2007	27	1.8157	2.4489	0.9541	1.4837	1.4806	NA	JP	Econ2011
2008	28	1.7962	2.4587	0.9401	1.4363	1.4325	NA	JP	Econ2011
2009	29	1.6969	2.4489	0.9005	1.3670	1.3606	NA	JP	Econ2011
2010	30	1.7726	2.4397	0.9068	1.4320	1.4264	NA	JP	Econ2011
2011	31	1.7598	2.4320	0.8790	1.3794	1.3765	NA	JP	Econ2011
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	CN	Econ2011
1992	1	1.1420	1.0985	1.0258	1.0356	1.0363	NA	CN	Econ2011
1993	2	1.3019	1.2404	1.0377	1.0913	1.0912	NA	CN	Econ2011
