Year	iYear	iGDP	iK	iL	iQp	iXp	iU	Country	Source
1980	0	1	1	1	1	1	1	US	Calvin
1981	1	1.025412325	1.026890236	1.005036991	0.976649246	0.976583444	0.961840932	US	Calvin
1982	2	1.005106618	1.047176875	0.99442139	0.939244555	0.938762091	0.915646139	US	Calvin
1983	3	1.05049686	1.07057189	1.017447011	0.933741465	0.933420624	0.912285065	US	Calvin
1984	4	1.126078255	1.102814637	1.069175021	0.980028907	0.979793112	0.966525353	US	Calvin
1985	5	1.172382858	1.137262022	1.0893468	0.978903601	0.978865288	0.978841152	US	Calvin
1986	6	1.21256297	1.170449658	1.10811279	0.981488677	0.981523613	0.971906534	US	Calvin
1987	7	1.250966117	1.202859788	1.138232714	1.012640749	1.012742907	1.005230276	US	Calvin
1988	8	1.302256573	1.235565183	1.164033645	1.058301883	1.058284923	1.073249623	US	Calvin
1989	9	1.348681941	1.268520671	1.193923465	1.090733835	1.089678019	1.132751906	US	Calvin
1990	10	1.373714719	1.298850231	1.193868014	1.09651281	1.094790917	1.151596694	US	Calvin
1991	11	1.370126285	1.322803701	1.171585669	1.09681503	1.094668609	1.139461637	US	Calvin
1992	12	1.41677593	1.348998214	1.176271115	1.111869761	1.109793441	1.187376243	US	Calvin
1993	13	1.457473604	1.379487421	1.196131779	1.132993729	1.130806621	1.199161433	US	Calvin
1994	14	1.51744186	1.414171286	1.227913008	1.154807588	1.152580905	1.238046689	US	Calvin
1995	15	1.556121041	1.451844306	1.246851838	1.180222419	1.177153009	1.291196747	US	Calvin
1996	16	1.615036919	1.494650376	1.258853666	1.218534362	1.21547602	1.332522466	US	Calvin
1997	17	1.687806225	1.540932793	1.296448409	1.22849973	1.225949489	1.35103356	US	Calvin
1998	18	1.762093713	1.592298034	1.318603873	1.236464274	1.234091275	1.365523869	US	Calvin
1999	19	1.847888344	1.647975503	1.343826099	1.256450272	1.2537434	1.407697665	US	Calvin
2000	20	1.925005176	1.705671559	1.35760577	1.284469687	1.282081587	1.396955679	US	Calvin
2001	21	1.946052722	1.755411039	1.346276443	1.254341898	1.252175857	NA	US	Calvin
2002	22	1.981626527	1.797121236	1.341781684	1.277837761	1.274829366	NA	US	Calvin
2003	23	2.032209647	1.839616055	1.346998118	1.281280932	1.278557416	NA	US	Calvin
2004	24	2.102925954	1.886771375	1.362044355	1.30320301	1.300581619	NA	US	Calvin
2005	25	2.16760403	1.937271448	1.384886222	1.305428961	1.302779497	NA	US	Calvin
2006	26	2.225243254	1.986559729	1.412674005	1.299395544	1.296476522	NA	US	Calvin
2007	27	2.26768339	2.03106437	1.425452758	1.322842782	1.319790727	NA	US	Calvin
2008	28	2.259540404	2.065595188	1.413588561	1.295047304	1.291405982	NA	US	Calvin
2009	29	2.189289904	2.080547982	1.342642439	1.239735594	1.234895574	NA	US	Calvin
