Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	IR
1992	1	1.0425	0.9923	1.0287	1.0351	1.0351	NA	IR
1993	2	1.0261	1.0258	1.0452	1.0666	1.0665	NA	IR
1994	3	1.0225	1.0326	1.0479	1.1370	1.1372	NA	IR
1995	4	1.0496	1.0677	1.0471	1.1797	1.1791	NA	IR
1996	5	1.1241	1.0762	1.0644	1.2218	1.2204	NA	IR
1997	6	1.1622	1.1451	1.0918	1.3652	1.3641	NA	IR
1998	7	1.1940	1.2058	1.1206	1.4157	1.4133	NA	IR
1999	8	1.2171	1.2475	1.1536	1.4931	1.4897	NA	IR
2000	9	1.2797	1.3428	1.1887	1.5534	1.5490	NA	IR
2001	10	1.3267	1.4047	1.2379	1.6601	1.6547	NA	IR
2002	11	1.4264	1.4662	1.2995	1.8141	1.8079	NA	IR
2003	12	1.5279	1.5670	1.3728	1.9104	1.9034	NA	IR
2004	13	1.6056	1.7123	1.4524	1.9854	1.9772	NA	IR
2005	14	1.6798	1.7569	1.5353	2.2660	2.2564	NA	IR
2006	15	1.7788	1.7594	1.6185	2.3692	2.3604	NA	IR
2007	16	1.9180	1.8045	1.7074	2.4265	2.4171	NA	IR
2008	17	1.9621	1.7369	1.8002	2.5111	2.5052	NA	IR
2009	18	1.9974	1.7804	1.8939	2.7750	2.7667	NA	IR
2010	19	2.0555	1.8470	1.9876	2.7955	2.7853	NA	IR
2011	20	2.0971	1.8676	2.0861	3.0885	3.0823	NA	IR
