Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	JP
1981	1	1.0293	1.0030	1.0536	0.9997	0.9995	0.9622	JP
1982	2	1.0578	1.0087	1.1034	0.9728	0.9712	0.9177	JP
1983	3	1.0748	1.0222	1.1481	0.9558	0.9526	0.9117	JP
1984	4	1.1084	1.0319	1.1949	1.0421	1.0397	0.9897	JP
1985	5	1.1647	1.0290	1.2489	1.0470	1.0430	0.9982	JP
1986	6	1.1992	1.0332	1.3068	1.0502	1.0455	0.9930	JP
1987	7	1.2447	1.0400	1.3722	1.0823	1.0771	1.0203	JP
1988	8	1.3289	1.0531	1.4539	1.1437	1.1397	1.0787	JP
1989	9	1.3992	1.0554	1.5462	1.1830	1.1792	1.1060	JP
1990	10	1.4719	1.0587	1.6473	1.2508	1.2474	1.1618	JP
1991	11	1.5209	1.0559	1.7466	1.2876	1.2835	1.1885	JP
1992	12	1.5333	1.0451	1.8342	1.2915	1.2875	1.1622	JP
1993	13	1.5360	1.0200	1.9101	1.3093	1.3039	1.1741	JP
1994	14	1.5492	1.0163	1.9775	1.3490	1.3446	1.2051	JP
1995	15	1.5791	1.0208	2.0417	1.3910	1.3856	1.2433	JP
1996	16	1.6211	1.0223	2.1111	1.4147	1.4091	1.2510	JP
1997	17	1.6472	1.0137	2.1754	1.4510	1.4449	1.2961	JP
1998	18	1.6125	0.9899	2.2197	1.4276	1.4205	1.2613	JP
1999	19	1.6112	0.9670	2.2603	1.4582	1.4529	1.2798	JP
2000	20	1.6472	0.9684	2.2994	1.4607	1.4554	1.2820	JP
2001	21	1.6530	0.9513	2.3313	1.4508	1.4455	NA	JP
2002	22	1.6577	0.9336	2.3517	1.4485	1.4443	NA	JP
2003	23	1.6862	0.9356	2.3713	1.4486	1.4464	NA	JP
2004	24	1.7256	0.9447	2.3900	1.4807	1.4778	NA	JP
2005	25	1.7478	0.9459	2.4089	1.4868	1.4832	NA	JP
2006	26	1.7772	0.9547	2.4294	1.5019	1.4976	NA	JP
2007	27	1.8157	0.9541	2.4489	1.4837	1.4806	NA	JP
2008	28	1.7962	0.9401	2.4587	1.4363	1.4325	NA	JP
2009	29	1.6969	0.9005	2.4489	1.3670	1.3606	NA	JP
2010	30	1.7726	0.9068	2.4397	1.4320	1.4264	NA	JP
2011	31	1.7598	0.8790	2.4320	1.3794	1.3765	NA	JP
