Year	iYear	iGDP	iKstkPWT	iKstkO+WnoRD	iKstkO+WwithRD	iKstkS+L	iKservONS2011	iKservONS2015	iKservO+WnoRD	iKservO+WwithRD	iKservS+L	iL	ihLPWT	ihLest	iEpMP	iEfMP	iEuMP	iXpMP	iXfMP	iUMP	iEpIEA	iEfIEA	iXp	iXf	iU	Country	Source
1960	0	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	1.00	NA	1.00	1.00	1.00	NA	NA	NA	NA	NA	NA	1.00	1.00	1.00	NA	1.00	UK	Leeds
1961	1	1.02	1.04	1.05	1.05	NA	1.04	1.14	1.05	1.05	NA	1.00	1.01	1.01	NA	NA	NA	NA	NA	NA	1.00	0.99	1.00	NA	1.05	UK	Leeds
1962	2	1.04	1.07	1.09	1.09	NA	1.08	1.26	1.09	1.09	NA	0.99	1.02	1.02	NA	NA	NA	NA	NA	NA	1.03	1.03	1.02	NA	1.09	UK	Leeds
1963	3	1.08	1.10	1.13	1.13	NA	1.11	1.33	1.14	1.14	NA	1.00	1.03	1.04	NA	NA	NA	NA	NA	NA	1.08	1.07	1.06	NA	1.18	UK	Leeds
1964	4	1.14	1.15	1.18	1.18	NA	1.16	1.42	1.18	1.18	NA	1.01	1.06	1.06	NA	NA	NA	NA	NA	NA	1.09	1.07	1.06	NA	1.22	UK	Leeds
1965	5	1.17	1.20	1.24	1.24	NA	1.20	1.54	1.23	1.23	NA	1.01	1.06	1.07	NA	NA	NA	NA	NA	NA	1.14	1.10	1.11	NA	1.33	UK	Leeds
1966	6	1.19	1.25	1.30	1.30	NA	1.24	1.66	1.29	1.29	NA	1.00	1.06	1.07	NA	NA	NA	NA	NA	NA	1.14	1.08	1.10	NA	1.35	UK	Leeds
1967	7	1.22	1.30	1.36	1.36	NA	1.30	1.79	1.34	1.34	NA	0.98	1.05	1.06	NA	NA	NA	NA	NA	NA	1.16	1.11	1.10	NA	1.39	UK	Leeds
1968	8	1.30	1.36	1.43	1.43	NA	1.35	1.92	1.41	1.41	NA	0.97	1.05	1.06	NA	NA	NA	NA	NA	NA	1.18	1.16	1.12	NA	1.47	UK	Leeds
1969	9	1.29	1.41	1.50	1.50	NA	1.41	2.06	1.48	1.48	NA	0.97	1.06	1.06	NA	NA	NA	NA	NA	NA	1.24	1.20	1.17	NA	1.51	UK	Leeds
1970	10	1.32	1.46	1.57	1.57	NA	1.47	2.17	1.56	1.56	NA	0.94	1.04	1.05	NA	NA	NA	NA	NA	NA	1.29	1.23	1.21	NA	1.56	UK	Leeds
1971	11	1.34	1.51	1.64	1.64	NA	1.52	2.31	1.63	1.63	NA	0.92	1.02	1.02	NA	NA	NA	NA	NA	NA	1.31	1.23	1.24	NA	1.60	UK	Leeds
1972	12	1.39	1.56	1.71	1.71	NA	1.58	2.43	1.71	1.71	NA	0.91	1.01	1.02	NA	NA	NA	NA	NA	NA	1.32	1.24	1.24	NA	1.65	UK	Leeds
1973	13	1.50	1.61	1.78	1.78	NA	1.65	2.64	1.79	1.79	NA	0.93	1.05	1.05	NA	NA	NA	NA	NA	NA	1.37	1.31	1.28	NA	1.66	UK	Leeds
1974	14	1.47	1.66	1.85	1.85	NA	1.71	2.94	1.89	1.89	NA	0.91	1.03	1.04	NA	NA	NA	NA	NA	NA	1.32	1.26	1.22	NA	1.57	UK	Leeds
1975	15	1.46	1.70	1.91	1.91	NA	1.75	3.09	1.99	1.99	NA	0.89	1.02	1.02	NA	NA	NA	NA	NA	NA	1.25	1.22	1.19	NA	1.54	UK	Leeds
1976	16	1.50	1.74	1.97	1.97	NA	1.78	3.15	2.07	2.07	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.28	1.24	1.20	NA	1.57	UK	Leeds
1977	17	1.54	1.78	2.02	2.02	NA	1.83	3.23	2.14	2.14	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.31	1.26	1.23	NA	1.66	UK	Leeds
1978	18	1.59	1.82	2.08	2.08	NA	1.88	3.36	2.21	2.21	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.30	1.26	1.22	NA	1.66	UK	Leeds
1979	19	1.63	1.86	2.14	2.14	NA	1.93	3.52	2.29	2.29	NA	0.88	1.01	1.01	NA	NA	NA	NA	NA	NA	1.37	1.32	1.29	NA	1.75	UK	Leeds
1980	20	1.60	1.90	2.18	2.18	NA	1.97	3.75	2.38	2.38	NA	0.86	1.00	1.00	NA	NA	NA	NA	NA	NA	1.25	1.20	1.20	NA	1.64	UK	Leeds
1981	21	1.58	1.92	2.22	2.22	NA	1.99	3.95	2.45	2.45	NA	0.82	0.95	0.95	NA	NA	NA	NA	NA	NA	1.21	1.18	1.16	NA	1.60	UK	Leeds
1982	22	1.61	1.95	2.26	2.27	NA	2.02	4.05	2.48	2.48	NA	0.80	0.94	0.93	NA	NA	NA	NA	NA	NA	1.20	1.17	1.15	NA	1.64	UK	Leeds
1983	23	1.67	1.98	2.30	2.32	NA	2.06	4.15	2.54	2.55	NA	0.79	0.93	0.93	NA	NA	NA	NA	NA	NA	1.20	1.17	1.14	NA	1.62	UK	Leeds
1984	24	1.71	2.02	2.35	2.37	NA	2.11	4.30	2.59	2.63	NA	0.80	0.95	0.94	NA	NA	NA	NA	NA	NA	1.20	1.17	1.13	NA	1.63	UK	Leeds
1985	25	1.77	2.06	2.41	2.44	NA	2.16	4.52	2.65	2.70	NA	0.82	0.97	0.96	NA	NA	NA	NA	NA	NA	1.26	1.22	1.19	NA	1.73	UK	Leeds
1986	26	1.84	2.10	2.47	2.51	NA	2.20	4.76	2.75	2.82	NA	0.82	0.97	0.96	NA	NA	NA	NA	NA	NA	1.28	1.25	1.21	NA	1.75	UK	Leeds
1987	27	1.93	2.15	2.55	2.60	NA	2.28	5.02	2.86	2.95	NA	0.83	0.99	0.99	NA	NA	NA	NA	NA	NA	1.29	1.27	1.22	NA	1.81	UK	Leeds
1988	28	2.03	2.22	2.64	2.69	NA	2.37	5.36	2.98	3.09	NA	0.86	1.03	1.03	NA	NA	NA	NA	NA	NA	1.31	1.29	1.22	NA	1.86	UK	Leeds
1989	29	2.07	2.29	2.76	2.81	NA	2.48	5.84	3.14	3.26	NA	0.88	1.06	1.06	NA	NA	NA	NA	NA	NA	1.30	1.27	1.20	NA	1.82	UK	Leeds
1990	30	2.09	2.35	2.87	2.93	NA	2.58	6.30	3.33	3.46	NA	0.88	1.06	1.07	NA	NA	NA	NA	NA	NA	1.30	1.26	1.20	NA	1.86	UK	Leeds
1991	31	2.06	2.40	2.97	3.04	NA	2.67	6.60	3.49	3.63	NA	0.85	1.02	1.03	NA	NA	NA	NA	NA	NA	1.34	1.31	1.24	NA	1.98	UK	Leeds
1992	32	2.06	2.45	3.05	3.12	NA	2.72	6.79	3.64	3.79	NA	0.82	0.99	1.00	NA	NA	NA	NA	NA	NA	1.34	1.29	1.23	NA	1.93	UK	Leeds
1993	33	2.11	2.50	3.13	3.20	NA	2.80	6.98	3.76	3.91	NA	0.81	0.98	0.99	NA	NA	NA	NA	NA	NA	1.35	1.31	1.24	NA	1.97	UK	Leeds
1994	34	2.20	2.55	3.22	3.29	NA	2.89	7.16	3.88	4.04	NA	0.82	1.00	1.01	NA	NA	NA	NA	NA	NA	1.36	1.32	1.24	NA	2.00	UK	Leeds
1995	35	2.27	2.61	3.31	3.38	NA	3.02	7.36	4.01	4.18	NA	0.83	1.02	1.03	NA	NA	NA	NA	NA	NA	1.36	1.31	1.25	NA	2.04	UK	Leeds
