Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	SA
1992	1	1.0463	1.0492	1.0599	1.0553	1.0553	NA	SA
1993	2	1.0466	1.0792	1.1165	1.0985	1.0983	NA	SA
1994	3	1.0535	1.1059	1.1703	1.1318	1.1314	NA	SA
1995	4	1.0556	1.1257	1.2188	1.1169	1.1160	NA	SA
1996	5	1.0914	1.1208	1.2543	1.1948	1.1940	NA	SA
1997	6	1.1197	1.0884	1.2888	1.2648	1.2639	NA	SA
1998	7	1.1514	1.0968	1.3289	1.3121	1.3114	NA	SA
1999	8	1.1428	1.1337	1.3774	1.3294	1.3289	NA	SA
2000	9	1.1984	1.1607	1.4293	1.3994	1.3986	NA	SA
2001	10	1.2049	1.2172	1.4799	1.4787	1.4777	NA	SA
2002	11	1.2065	1.2836	1.5290	1.5499	1.5486	NA	SA
2003	12	1.2989	1.4080	1.6000	1.6416	1.6399	NA	SA
2004	13	1.3673	1.5176	1.6705	1.7623	1.7600	NA	SA
2005	14	1.4432	1.5717	1.7699	1.8459	1.8435	NA	SA
2006	15	1.4888	1.6458	1.8990	1.9010	1.8981	NA	SA
2007	16	1.5188	1.7179	2.0655	1.9832	1.9809	NA	SA
2008	17	1.5830	1.7884	2.2830	1.9464	1.9413	NA	SA
2009	18	1.5856	1.7941	2.4183	2.0521	2.0491	NA	SA
2010	19	1.6590	1.8635	2.5547	2.2451	2.2418	NA	SA
2011	20	1.7712	1.9472	2.6944	2.7158	2.7158	NA	SA
