Year	iYear	iGDP	iK	iL_ForAndInfor	iL_For	iQp	iQf	Country	Source
1946	-27	0.283710348	0.226799349	NA	NA	NA	NA	ZA	SUN
1947	-26	0.289135217	0.242601252	NA	NA	NA	NA	ZA	SUN
1948	-25	0.310411613	0.264229953	NA	NA	NA	NA	ZA	SUN
1949	-24	0.317420024	0.285876804	NA	NA	NA	NA	ZA	SUN
1950	-23	0.333237972	0.303331061	NA	NA	NA	NA	ZA	SUN
1951	-22	0.349078753	0.319021888	NA	NA	NA	NA	ZA	SUN
1952	-21	0.359646437	0.337687823	NA	NA	NA	NA	ZA	SUN
1953	-20	0.375780018	0.360165932	NA	NA	NA	NA	ZA	SUN
1954	-19	0.400343033	0.382462544	NA	NA	NA	NA	ZA	SUN
1955	-18	0.423114324	0.40271985	NA	NA	NA	NA	ZA	SUN
1956	-17	0.4468258	0.420962532	NA	NA	NA	NA	ZA	SUN
1957	-16	0.46714052	0.440590404	NA	NA	NA	NA	ZA	SUN
1958	-15	0.480350125	0.464395624	NA	NA	NA	NA	ZA	SUN
1959	-14	0.502586853	0.48492445	NA	NA	NA	NA	ZA	SUN
1960	-13	0.517619074	0.505627513	NA	NA	NA	NA	ZA	SUN
1961	-12	0.537520113	0.52389125	NA	NA	NA	NA	ZA	SUN
1962	-11	0.570728805	0.540412609	NA	NA	NA	NA	ZA	SUN
1963	-10	0.612811504	0.562203932	NA	NA	NA	NA	ZA	SUN
1964	-9	0.661466098	0.591405437	NA	NA	NA	NA	ZA	SUN
1965	-8	0.701966599	0.628426583	NA	NA	NA	NA	ZA	SUN
1966	-7	0.733123	0.663303154	NA	NA	NA	NA	ZA	SUN
1967	-6	0.785882176	0.697646122	NA	NA	NA	NA	ZA	SUN
1968	-5	0.818522727	0.7325648	NA	NA	NA	NA	ZA	SUN
1969	-4	0.857124053	0.774040622	NA	NA	NA	NA	ZA	SUN
1970	-3	0.902110582	0.823245336	0.910288983	0.923335777	NA	NA	ZA	SUN
1971	-2	0.940711908	0.8792867	0.9370334	0.944590188	NA	NA	ZA	SUN
1972	-1	0.956278692	0.939075626	0.958222569	0.961184439	NA	NA	ZA	SUN
1973	0	1	1	1	1	1	1	ZA	SUN
1974	1	1.061110708	1.06448463	1.038244484	1.035857079	1.029990951	1.00519757	ZA	SUN
1975	2	1.079100484	1.136540613	1.072720686	1.068012052	1.119058905	1.078026176	ZA	SUN
1976	3	1.103380101	1.204112154	1.086643033	1.076899311	1.168009652	1.114910138	ZA	SUN
1977	4	1.102341868	1.261394961	1.078851523	1.062306262	1.174042315	1.089172772	ZA	SUN
1978	5	1.135572049	1.310080592	1.087625037	1.064354972	1.075537553	1.150917402	ZA	SUN
1979	6	1.178616423	1.359450832	1.107360208	1.079122633	1.094885164	1.140334398	ZA	SUN
1980	7	1.256647782	1.424796487	1.147196465	1.115176526	1.151807644	1.183417872	ZA	SUN
1981	8	1.32401341	1.496345002	1.183323533	1.148199444	1.21023829	1.243596969	ZA	SUN
1982	9	1.318937752	1.556977528	1.201498324	1.16105063	1.200068945	1.198196506	ZA	SUN
1983	10	1.29458292	1.608301408	1.200218407	1.152782461	1.180807515	1.167825161	ZA	SUN
1984	11	1.360594681	1.65277194	1.218182895	1.1627715	1.2652217	1.24459891	ZA	SUN
1985	12	1.344111887	1.68666915	1.222508003	1.158127929	1.277028483	1.255495022	ZA	SUN
1986	13	1.344350963	1.700093435	1.239776714	1.166588114	1.279657	1.24835619	ZA	SUN
1987	14	1.37259279	1.70790509	1.259189468	1.17755242	1.344034128	1.285490638	ZA	SUN
1988	15	1.430242272	1.726268287	1.281859672	1.191707537	1.382556987	1.352370217	ZA	SUN
1989	16	1.46449457	1.752549859	1.299222785	1.199103308	1.423062007	1.383242532	ZA	SUN
1990	17	1.459840652	1.776859642	1.308090245	1.195506327	1.48412117	1.392948838	ZA	SUN
1991	18	1.444974978	1.793056484	1.305479143	1.178646008	1.477786875	1.374099818	ZA	SUN
1992	19	1.41409526	1.802073283	1.304569744	1.162983015	1.466928082	1.332957605	ZA	SUN
1993	20	1.431539728	1.808936069	1.307170171	1.149305292	1.55444478	1.332080907	ZA	SUN
1994	21	1.477837144	1.821286614	1.314150904	1.144616577	1.602059723	1.368714384	ZA	SUN
1995	22	1.523882052	1.840661116	1.329056576	1.145845449	1.708363856	1.463836183	ZA	SUN
1996	23	1.589511023	1.867106762	1.347850994	1.156012164	1.787477916	1.542363329	ZA	SUN
1997	24	1.631581634	1.896197917	1.351642577	1.152886908	1.94699875	1.601978834	ZA	SUN
1998	25	1.640023155	1.926730888	1.337428686	1.135548538	1.894342224	1.589329326	ZA	SUN
1999	26	1.67869701	1.941294252	1.334102555	1.129441812	1.862929289	1.545306531	ZA	SUN
2000	27	1.748439964	1.956966929	1.320319309	1.120671353	1.904296118	1.566347298	ZA	SUN
2001	28	1.796267195	1.972721643	1.268705145	1.109628739	1.855647003	1.547059929	ZA	SUN
2002	29	1.862151359	1.989001974	1.256540416	1.15490489	1.952859051	1.629720083	ZA	SUN
2003	30	1.917067589	2.015550711	1.284168746	1.144514168	1.997974749	1.695284614	ZA	SUN
