Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	TZ
1992	1	1.0059	1.0211	1.0783	1.0310	1.0364	NA	TZ
1993	2	1.0180	1.0556	1.1342	1.0704	1.0771	NA	TZ
1994	3	1.0340	1.1100	1.1878	1.0643	1.0385	NA	TZ
1995	4	1.0708	1.1436	1.2178	1.0797	1.0424	NA	TZ
1996	5	1.1196	1.1756	1.2428	1.1121	1.0720	NA	TZ
1997	6	1.1590	1.2065	1.2664	1.1053	1.0455	NA	TZ
1998	7	1.2020	1.2211	1.3040	1.1548	1.1080	NA	TZ
1999	8	1.2603	1.2516	1.3468	1.1892	1.1422	NA	TZ
2000	9	1.3224	1.2833	1.3944	1.2041	1.1463	NA	TZ
2001	10	1.4017	1.3164	1.4558	1.2881	1.2521	NA	TZ
2002	11	1.5021	1.3685	1.5255	1.3549	1.3238	NA	TZ
2003	12	1.6055	1.4230	1.6143	1.3880	1.3437	NA	TZ
2004	13	1.7312	1.4616	1.7172	1.4427	1.4050	NA	TZ
2005	14	1.8588	1.5020	1.8532	1.5215	1.5025	NA	TZ
2006	15	1.9841	1.5443	2.0209	1.5621	1.5409	NA	TZ
2007	16	2.1259	1.5885	2.2198	1.6875	1.6998	NA	TZ
2008	17	2.2840	1.6349	2.4314	1.7563	1.7766	NA	TZ
2009	18	2.4215	1.6836	2.6653	1.8280	1.8560	NA	TZ
2010	19	2.5907	1.7345	2.9149	1.9348	1.9882	NA	TZ
2011	20	2.7564	1.7878	3.1830	2.0288	2.1001	NA	TZ
