Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	UK
1981	1	0.9868	0.9541	1.0184	0.9606	0.9599	0.9560	UK
1982	2	1.0074	0.9334	1.0407	0.9489	0.9473	0.9159	UK
1983	3	1.0439	0.9234	1.0663	0.9530	0.9508	0.9706	UK
1984	4	1.0718	0.9466	1.0990	0.9372	0.9331	0.9833	UK
1985	5	1.1104	0.9598	1.1339	0.9823	0.9789	1.0182	UK
1986	6	1.1549	0.9630	1.1687	1.0052	1.0024	1.0542	UK
1987	7	1.2076	0.9848	1.2120	1.0171	1.0144	1.1319	UK
1988	8	1.2684	1.0214	1.2709	1.0196	1.0161	1.1101	UK
1989	9	1.2974	1.0503	1.3343	1.0443	1.0404	1.1201	UK
1990	10	1.3075	1.0475	1.3900	1.0485	1.0441	1.1524	UK
1991	11	1.2893	1.0051	1.4296	1.0721	1.0674	1.1319	UK
1992	12	1.2911	0.9774	1.4653	1.0472	1.0410	1.1595	UK
1993	13	1.3198	0.9663	1.4981	1.0593	1.0510	1.1571	UK
1994	14	1.3763	0.9798	1.5348	1.0655	1.0564	1.2902	UK
1995	15	1.4183	0.9931	1.5732	1.0622	1.0520	1.2568	UK
1996	16	1.4593	1.0021	1.6167	1.1284	1.1169	1.3357	UK
1997	17	1.5092	1.0190	1.6683	1.0962	1.0840	1.2560	UK
1998	18	1.5672	1.0273	1.7385	1.1006	1.0874	1.2788	UK
1999	19	1.6244	1.0365	1.8091	1.1027	1.0888	1.2320	UK
2000	20	1.6969	1.0389	1.8797	1.0959	1.0818	1.2648	UK
2001	21	1.7503	1.0489	1.9506	1.1179	1.1037	NA	UK
2002	22	1.7968	1.0460	2.0239	1.1057	1.0910	NA	UK
2003	23	1.8602	1.0499	2.0944	1.1129	1.0989	NA	UK
2004	24	1.9151	1.0593	2.1707	1.1151	1.1014	NA	UK
2005	25	1.9551	1.0720	2.2471	1.1159	1.1022	NA	UK
2006	26	2.0061	1.0778	2.3327	1.1050	1.0921	NA	UK
2007	27	2.0756	1.0868	2.4320	1.0675	1.0548	NA	UK
2008	28	2.0527	1.0914	2.5117	1.0536	1.0406	NA	UK
2009	29	1.9629	1.0597	2.5523	1.0030	0.9883	NA	UK
2010	30	2.0040	1.0649	2.5969	1.0229	1.0085	NA	UK
2011	31	2.0171	1.0634	2.6358	0.9824	0.9676	NA	UK
