Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1980	0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	US
1981	1	1.0254	1.0021	1.0322	0.9769	0.9766	0.9619	US
1982	2	1.0055	0.9872	1.0551	0.9397	0.9388	0.9157	US
1983	3	1.0509	1.0049	1.0829	0.9343	0.9335	0.9123	US
1984	4	1.1264	1.0556	1.1253	0.9805	0.9799	0.9666	US
1985	5	1.1730	1.0797	1.1718	0.9796	0.9789	0.9789	US
1986	6	1.2137	1.0924	1.2172	0.9823	0.9816	0.9720	US
1987	7	1.2525	1.1220	1.2608	1.0134	1.0128	1.0053	US
1988	8	1.3040	1.1555	1.3054	1.0589	1.0584	1.0733	US
1989	9	1.3506	1.1874	1.3511	1.0913	1.0897	1.1328	US
1990	10	1.3759	1.1894	1.3927	1.0971	1.0949	1.1517	US
1991	11	1.3727	1.1726	1.4246	1.0974	1.0947	1.1395	US
1992	12	1.4193	1.1736	1.4612	1.1124	1.1099	1.1874	US
1993	13	1.4598	1.2010	1.5048	1.1335	1.1309	1.1992	US
1994	14	1.5192	1.2386	1.5570	1.1554	1.1526	1.2381	US
1995	15	1.5574	1.2691	1.6155	1.1808	1.1772	1.2913	US
1996	16	1.6157	1.2850	1.6848	1.2190	1.2155	1.3326	US
1997	17	1.6877	1.3226	1.7662	1.2291	1.2260	1.3511	US
1998	18	1.7612	1.3511	1.8634	1.2373	1.2342	1.3656	US
1999	19	1.8462	1.3775	1.9745	1.2573	1.2538	1.4078	US
2000	20	1.9226	1.3959	2.0955	1.2855	1.2822	1.3971	US
2001	21	1.9434	1.3788	2.2033	1.2556	1.2523	NA	US
2002	22	1.9786	1.3609	2.2927	1.2789	1.2750	NA	US
2003	23	2.0289	1.3538	2.3844	1.2825	1.2787	NA	US
2004	24	2.0992	1.3690	2.4885	1.3044	1.3007	NA	US
2005	25	2.1637	1.3901	2.6029	1.3067	1.3029	NA	US
2006	26	2.2212	1.4155	2.7162	1.3010	1.2967	NA	US
2007	27	2.2637	1.4252	2.8158	1.3244	1.3200	NA	US
2008	28	2.2561	1.4100	2.8877	1.2967	1.2916	NA	US
2009	29	2.1774	1.3321	2.9041	1.2414	1.2351	NA	US
2010	30	2.2434	1.3321	2.9249	1.2878	1.2820	NA	US
2011	31	2.2823	1.3522	2.9597	1.2830	1.2754	NA	US
