Year	iYear	iGDP	iK	iL	iQ	iX	iU	Country	Source
1900	0	1	1	1	1	1	1	US	Warr2000
1901	1	1.112582781	1.03180212	1.031528844	1.070481247	1.071567474	1.075111315	US	Warr2000
1902	2	1.124172185	1.067137809	1.055988353	1.114740905	1.116434667	1.124662733	US	Warr2000
1903	3	1.178807947	1.109540636	1.073753964	1.25211565	1.257376559	1.229887038	US	Warr2000
1904	4	1.163907285	1.144876325	1.079332673	1.251166055	1.25553214	1.242388396	US	Warr2000
1905	5	1.25	1.173144876	1.121707818	1.360614623	1.367497811	1.412900079	US	Warr2000
1906	6	1.394039735	1.219081272	1.17590084	1.415159277	1.422914473	1.480116926	US	Warr2000
1907	7	1.415562914	1.268551237	1.197517989	1.587762429	1.599879187	1.664934663	US	Warr2000
1908	8	1.299668874	1.307420495	1.147711399	1.457303526	1.464353279	1.461037801	US	Warr2000
1909	9	1.458609272	1.339222615	1.210604098	1.575214345	1.584857172	1.667979157	US	Warr2000
1910	10	1.473509934	1.378091873	1.229900956	1.693504694	1.705717055	1.800898535	US	Warr2000
1911	11	1.521523179	1.424028269	1.239775554	1.68368493	1.694653705	1.813987849	US	Warr2000
1912	12	1.592715232	1.459363958	1.269495386	1.785050283	1.798261318	1.980649717	US	Warr2000
1913	13	1.655629139	1.501766784	1.287064249	1.88093471	1.895983562	2.098222462	US	Warr2000
1914	14	1.528145695	1.54770318	1.255095863	1.787279244	1.798181251	1.97046324	US	Warr2000
1915	15	1.571192053	1.586572438	1.248549246	1.841452115	1.853078583	2.149892925	US	Warr2000
1916	16	1.78807947	1.61130742	1.307899839	1.983678946	1.998769937	2.503371535	US	Warr2000
1917	17	1.743377483	1.653710247	1.292176061	2.145127185	2.164210232	2.72077233	US	Warr2000
1918	18	1.900662252	1.699646643	1.280638348	2.225917174	2.247036429	2.817293778	US	Warr2000
1919	19	1.917218543	1.738515901	1.269356051	1.977537006	1.990092578	2.34832192	US	Warr2000
1920	20	1.899006623	1.777385159	1.301438744	2.209005032	2.227423589	2.638390085	US	Warr2000
1921	21	1.855960265	1.802120141	1.118574988	1.933140932	1.9425986	2.120718176	US	Warr2000
1922	22	1.958609272	1.816254417	1.226856438	2.000439365	2.010926885	2.242063027	US	Warr2000
1923	23	2.216887417	1.851590106	1.353786511	2.377122185	2.397098807	2.649914345	US	Warr2000
1924	24	2.284768212	1.901060071	1.286667982	2.279203809	2.29530536	2.568691978	US	Warr2000
1925	25	2.337748344	1.943	1.362294893	2.321179804	2.337526766	2.688463415	US	Warr2000
1926	26	2.490066225	2.021640003	1.412643506	2.461992659	2.481610668	2.77863963	US	Warr2000
1927	27	2.514900662	2.093515275	1.413525857	2.413827559	2.430707938	2.779107449	US	Warr2000
1928	28	2.543046358	2.163022891	1.402980505	2.460101273	2.477074546	2.849602582	US	Warr2000
1929	29	2.698675497	2.236420228	1.430244022	2.560550615	2.579511948	2.963393552	US	Warr2000
1930	30	2.458609272	2.280898338	1.302590771	2.447319068	2.460827045	2.700458396	US	Warr2000
1931	31	2.26986755	2.293751327	1.17146239	2.155586027	2.161362044	2.348719598	US	Warr2000
1932	32	1.970198675	2.275993907	1.020204297	1.949333836	1.949132504	2.037297671	US	Warr2000
1933	33	1.928807947	2.248934981	1.015250388	2.002986929	2.003752704	2.111241111	US	Warr2000
1934	34	2.07781457	2.241324658	0.976696423	2.091964407	2.094511299	2.288841951	US	Warr2000
1935	35	2.236754967	2.249611454	1.068086809	2.182907089	2.186662283	2.478114258	US	Warr2000
1936	36	2.554635762	2.287324832	1.207538139	2.380602022	2.388566676	2.802898954	US	Warr2000
1937	37	2.663907285	2.330449996	1.24525233	2.495646915	2.505450864	3.032873499	US	Warr2000
