Year	iYear	iGDP	iLabor	iCapStk	iQ	iX	iU	Country
1991	0	1.0000	1.0000	1.0000	1.0000	1.0000	NA	ZA
1992	1	0.9786	1.0211	1.0012	1.0229	1.0232	NA	ZA
1993	2	0.9907	1.0597	1.0019	1.0229	1.0228	NA	ZA
1994	3	1.0227	1.1704	1.0084	1.1108	1.1102	NA	ZA
1995	4	1.0546	1.2757	1.0227	1.1284	1.1269	NA	ZA
1996	5	1.1000	1.2423	1.0436	1.1432	1.1420	NA	ZA
1997	6	1.1291	1.2909	1.0683	1.2324	1.2320	NA	ZA
1998	7	1.1350	1.2885	1.0960	1.1768	1.1750	NA	ZA
1999	8	1.1617	1.3403	1.1139	1.2244	1.2233	NA	ZA
2000	9	1.2100	1.3387	1.1343	1.2569	1.2559	NA	ZA
2001	10	1.2431	1.3506	1.1560	1.2725	1.2719	NA	ZA
2002	11	1.2887	1.3694	1.1798	1.2460	1.2443	NA	ZA
2003	12	1.3267	1.4076	1.2126	1.3361	1.3356	NA	ZA
2004	13	1.3871	1.5013	1.2579	1.4173	1.4166	NA	ZA
2005	14	1.4603	1.5185	1.3144	1.4002	1.3992	NA	ZA
2006	15	1.5422	1.5982	1.3845	1.4396	1.4376	NA	ZA
2007	16	1.6268	1.6966	1.4726	1.4708	1.4682	NA	ZA
2008	17	1.6866	1.7563	1.5763	1.5389	1.5370	NA	ZA
2009	18	1.6613	1.7172	1.6803	1.5140	1.5122	NA	ZA
2010	19	1.7095	1.6557	1.7923	1.5140	1.5125	NA	ZA
2011	20	1.7625	1.6754	1.9066	1.5040	1.5035	NA	ZA
